iter	RMSE
226	165934.6424
227	165150.9515
228	164138.0809
229	163334.0241
230	162695.4586
231	162145.4712
232	161517.9686
233	160773.7207
234	160068.1272
235	159641.7255
236	158958.9411
237	158319.608
238	157754.5647
239	157234.1751
240	156750.9663
241	156177.0125
242	155697.7101
243	155299.9086
244	154640.4564
245	154303.9991
246	153783.4633
247	153175.9714
248	152784.2533
249	152342.2675
250	152030.3055
251	151452.2113
252	151101.1526
253	150350.3948
254	149790.4739
255	149237.8862
256	148825.5769
257	148402.0193
258	148054.7268
259	147341.7458
260	146995.6296
261	146342.9404
262	145903.2179
263	145467.6445
264	145190.1913
265	144546.4244
266	144176.7521
267	143816.3257
268	143132.7237
269	142718.4255
270	142345.9795
271	142032.7165
272	141607.8488
273	141190.1263
274	140668.1826
275	140385.6971
276	139890.7435
277	139449.6941
278	139047.7277
279	138447.4269
280	138134.9372
281	137850.7531
282	137539.7552
283	136849.3857
284	136496.8805
285	136061.2526
286	135784.9755
287	135521.158
288	135219.657
289	134983.5235
290	134566.599
291	134288.5275
292	134014.6448
293	133747.4402
294	133449.1257
295	132970.0658
296	132667.8594
297	132403.1533
298	132185.3942
299	131764.9844
300	131122.3687
301	130662.0156
302	130299.4713
303	129944.2201
304	129396.7586
305	129057.1329
306	128807.1964
307	128454.8257
308	128148.2532
309	127868.9405
310	127570.4217
311	127352.7377
312	127080.6691
313	126635.3179
314	126328.3923
315	126061.7943
316	125824.766
317	125459.3841
318	125266.0954
319	124750.8094
320	124129.8035
321	123732.8675
322	123297.8939
323	123072.3417
324	122733.9226
325	122476.4627
326	122249.0449
327	122025.8376
328	121765.6478
329	121521.3859
330	121301.2962
331	120785.784
332	120547.882
333	120349.1453
334	120128.3255
335	119751.6169
336	119548.0219
337	119293.0951
338	118991.7703
339	118698.5896
340	118403.2825
341	118166.1002
342	117896.4034
343	117565.2494
344	117180.5304
345	116986.0719
346	116608.7188
347	116300.915
348	116089.1173
349	115892.8844
350	115767.3215
351	115605.8799
352	115486.2282
353	115213.1438
354	115022.1782
355	114806.6844
356	114608.3386
357	114100.1718
358	113931.9948
359	113710.029
360	113357.2772
361	113166.5329
362	112831.7616
363	112624.5551
364	112383.1273
365	112080.2789
366	111753.0293
367	111528.3598
368	111204.9818
369	111066.4186
370	110938.9822
371	110780.8412
372	110579.2866
373	110384.0912
374	110254.3937
375	110024.2145
376	109795.0813
377	109516.555
378	109341.3557
379	109189.5902
380	108986.8751
381	108854.0456
382	108691.9497
383	108548.8712
384	108402.3228
385	108205.9792
386	108020.5068
387	107843.6643
388	107637.6417
389	107408.1525
390	107193.0845
391	107019.9641
392	106787.1202
393	106627.049
394	106439.8843
395	106287.893
396	106061.7464
397	105884.0913
398	105689.8069
399	105328.0673
400	105200.0801
401	105084.9372
402	104986.0698
403	104808.8872
404	104638.2145
405	104538.5331
406	104425.3484
407	104222.6103
408	103900.6579
409	103745.791
410	103615.9096
411	103466.6372
412	103322.3332
413	103135.9085
414	102980.1033
415	102839.7581
416	102682.4023
417	102420.3371
418	102279.2159
419	102041.0152
420	101909.2989
421	101766.1044
422	101563.4224
423	101448.1298
424	101321.4419
425	101213.6567
426	101077.7704
427	100985.833
428	100746.7897
429	100507.3039
430	100417.4051
431	100313.6627
432	100088.9764
433	99940.14043
434	99847.99537
435	99671.21545
436	99467.38396
437	99224.17752
438	99090.84916
439	99006.29128
440	98763.8168
441	98580.92329
442	98451.69619
443	98313.00177
444	98215.6407
445	98038.34506
446	97905.8675
447	97784.78971
448	97699.66149
449	97581.57445
450	97480.39679
451	97343.11606
452	97207.06836
453	97108.62473
454	96965.1534
455	96888.15534
456	96680.2613
457	96582.18898
458	96447.31663
459	96371.25351
460	96203.20061
